Pengguna,Waktu,Ulasan
c*****3,"2023-04-04 18:38 | Variasi: SC-735,5 METER",Barang sesuai deskripsi & berfungsi dgn baik. Panjang  kabel 5 meter & slot 5 colokan. Build quality sih keliatannya cukup baik. Semoga awet & safety. Seller jg gercep pengemasan cepat. Terima kasih.
b*****i,"2023-07-29 15:38 | Variasi: SC-735,10 METER, SC-735,5 METER","Hai..Barang nya sdh sampai 🤗
Produk Original ✨
Kualitas & harga produk sangat baik 👌🏻
Kecepatan pengiriman sangat baik 🏃🏻‍♀️
Respon penjual sangat baik 😊
Packing aman 📦
Variasi & ukuran sesuai pesanan 👍🏻
Blm dicoba tp semoga bisa berfungsi dgn baik 🤲🏻
Terima kasih 🙏🏻"
t*****h,"2023-07-11 13:13 | Variasi: SC-733,3 METER",Super cepet gpl mantap lumayan barangnya
j*****n,"2023-06-07 06:13 | Variasi: SC-734,3 METER","Produknya sangat bagus, harganya juga sangat terjangkau lebih murah di toko offline, tidak ada kendala sama sekali, pengirimannya juga cepat 2 hari sampai. pokonya the best lah, worth it banget"
m*****y,"2024-03-09 08:37 | Variasi: SC-733,5 METER",Pengirimannya juga cepat sekali!!
,"2024-04-13 16:06 | Variasi: SC-733,10 METER","Alhamdulilah barang nya udah yampe, barang nya mantap betul gan, sukses terus seler ama shopee Amiin 🤲"
s*****a,"2023-07-21 16:03 | Variasi: SC-734,10 METER","Sempat khawatir barang terlambat sampai tapi syukurnya diantar tepat waktu dan packaging aman (rapih), admin.nya good.respon juga. Barangnya bagus sesuai pesanan dan bisa dipakai juga, ngada yg.kurang dll. Terimakasih buat kurir krn sudh mau.antar pesanannya tepat waktu kurir. Semoga barang awet dan lancar rezekinya dan semuanyaa. Maaf juga baru sempat beri feedback. So, Thankyouu.."
,"2025-05-28 16:06 | Variasi: SC-733,5 METER","Pengiriman cepat,, alat berfungsi dengan baik.puass dehh,, mudah mudahan tambah lancar jualan nya"
d*****d,"2025-04-20 14:10 | Variasi: SC-732,5 METER",Semoga tahan lama dan dapat digunakan dengan maksimal
c*****_,"2025-03-24 12:42 | Variasi: SC-734,3 METER","Worth it dengan harga segini, apalagi kl awet sampe tahunan."
n*****_,"2025-05-27 21:26 | Variasi: SC-734,5 METER",Good condition guys beli yu beli
