Ulasan,Kategori
Barang sesuai deskripsi & berfungsi dgn baik. Panjang  kabel 5 meter & slot 5 colokan. Build quality sih keliatannya cukup baik. Semoga awet & safety. Seller jg gercep pengemasan cepat. Terima kasih.,Elektronik
"Hai..Barang nya sdh sampai 🤗
Produk Original ✨
Kualitas & harga produk sangat baik 👌🏻
Kecepatan pengiriman sangat baik 🏃🏻‍♀️
Respon penjual sangat baik 😊
Packing aman 📦
Variasi & ukuran sesuai pesanan 👍🏻
Blm dicoba tp semoga bisa berfungsi dgn baik 🤲🏻
Terima kasih 🙏🏻",Elektronik
Super cepet gpl mantap lumayan barangnya,Elektronik
"Produknya sangat bagus, harganya juga sangat terjangkau lebih murah di toko offline, tidak ada kendala sama sekali, pengirimannya juga cepat 2 hari sampai. pokonya the best lah, worth it banget",Elektronik
Pengirimannya juga cepat sekali!!,Elektronik
"Alhamdulilah barang nya udah yampe, barang nya mantap betul gan, sukses terus seler ama shopee Amiin 🤲",Elektronik
"Sempat khawatir barang terlambat sampai tapi syukurnya diantar tepat waktu dan packaging aman (rapih), admin.nya good.respon juga. Barangnya bagus sesuai pesanan dan bisa dipakai juga, ngada yg.kurang dll. Terimakasih buat kurir krn sudh mau.antar pesanannya tepat waktu kurir. Semoga barang awet dan lancar rezekinya dan semuanyaa. Maaf juga baru sempat beri feedback. So, Thankyouu..",Elektronik
"Pengiriman cepat,, alat berfungsi dengan baik.puass dehh,, mudah mudahan tambah lancar jualan nya",Elektronik
Semoga tahan lama dan dapat digunakan dengan maksimal,Elektronik
"Worth it dengan harga segini, apalagi kl awet sampe tahunan.",Elektronik
Good condition guys beli yu beli,Elektronik
"Barang diterima dengan baik, tidak ada cacat  dan kerusakan, barang sangat memuaskan kabel sangat panjang, wort it to buy, lumayan buat sehari hari recommend banget yaa, harga terjangkau 😍😍😍",Elektronik
Pas sesuai kebutuhan untuk CCTV jadi Menyala dengan baik 24 jam. Kabel panjang. Terimakasih seller kapan2 beli lagi di toko ini.,Elektronik
Murah juga worth it,Elektronik
"allhamdulillah datng dengan selamat, suka sekali dengan kabel roll nya panjang kabel nya colokannya berfungsi semua terimaksih",Elektronik
Bagus sesuai deskripsi semoga awet recomended,Elektronik
Pengiriman sangat cepat. Kabel tebel. Toko amanah,Elektronik
"Udah lama baru review, bagus produknya dan aman",Elektronik
Pesanan sudah diterima dengan kondisi baik,Elektronik
Terima kasih barang sudah sampai di tujuan dengan selamat dan baik tidak ada yang rusak semua berfungsi dengan baik,Elektronik
Alhamdulillah pesanan saya sudah sampai dengan selamat...semoga barangnya ga cepet rusak,Elektronik
"Berfungsi baik, pengemasan pengiriman jg cpt. Kirain 1.5m itu lmyn panjang, untungnya msh sesuai kebutuhan. Makasih banyak",Elektronik
"Rangkanya kokoh dan cantik
Ada motifnya pd bagian atas",Elektronik
Bagus stop kontak nya,Elektronik
"bahan nya bagus bangeettt, memuaskan banget belanja disini. harga murah pula",Elektronik
"Paket di terima dengan baik dan sesuai Pict. Pakingan rapi dan aman.

Proses Pengemasan dan Pengiriman juga cepat sampainya.

Sudah di coba dan bisa, moga awet karna ini Handmade.

Tengkyu Seller, sukses terus",Elektronik
"Stop kontak bagus, berfungsi normal, pengiriman juga cepat.",Elektronik
Ukuran kabelnya pas 5 meter sesuai deskripsi. Udah lumayan lama dipakai saat barang nyampe dan masih berfungsi dengan baik.,Elektronik
"Paket sudah saya Terima dengan baik. Dibungkus dengan rapih. Produknya lumayan bagus. Sudah saya pakai. Mudah2an awet ya. Pengirimnya ramah, sopan dan bertanggungjawab. Terima kasih.",Elektronik
Semoga sukses selalu 👍👍👍👍,Elektronik
Harga terjangkau kualitas bagus. Denganpanjang 10m,Elektronik
Bagus. Berfungsi dengan baik. Kabelnya juga kuat. Barang cepat sampainya. Terimakasih,Elektronik
"Super Cepat Sampai, Packing Super Aman pakai bumble dan Kualitas Bagus Original Cahaya.
Tebal,Kuat dan SNI.Respon Cepat Ramah Pula.
Terimakasih...",Elektronik
"mantap udah sampe , berfungsi normal , semoga awet , terimakasih",Elektronik
Sangat membantu dalam memberikan energi listrik ke semua alat rumah tangga,Elektronik
"Terima kasih seller,barangnya bagus banget pokoknya",Elektronik
"Produk sesuai pesanan, nyampenya cepet, produknya berfungsi ✅",Elektronik
"Barang sudah sampai selamat dan respon baik pengiriman cepat pokoknya, semoga bermanfaat dipakai dan tidak ada kendala pokoknya mantap baik digunakan serta normal",Elektronik
"Produk sangat berfungsi dengan baik, kualitas bagus. Toooop",Elektronik
"Wajibbbb beliii disiniii si apalagi harganya yang murah tapi kualitas oriii ga kaleng""",Elektronik
"Harga tidak mahal, pengiriman cepat, barang sampai dengan aman, terlindungi bubble wrap.",Elektronik
"Pengiriman cepat, aman dan baik",Elektronik
Sesuai pesanan dan pengiriman tepat waktu terima kasih seller semoga sukses dan lancar usahanya terima kasih Soppee,Elektronik
Terminal listriknya mantap nyala semuanyaa... makasih seller ga sia² nunggu deh.,Elektronik
"Stop kontak oke ya dengan harga murah juga, dan pengirimannya cepet banget, cuma 2 hari",Elektronik
"Pengiriman cepat,pakingnya bagus...amanah 🫰",Elektronik
Terimakasih ... paket nya aman dan sampai nya cepat... berfungsi dengan baik.. semoga awet dan tidak gampang meleleh kabelnya.. kabelnya tebal,Elektronik
"Kualitas produk sangat baik, sesuai dengan deskripsi. Pengiriman sangat cepat. Semoga awet. Terima kasih seller",Elektronik
packing rapi aman,Elektronik
Good 👍,Elektronik
"Barang diterima dgn baik, pengiriman juga baik, tapi itu emang tiap saklar nya beda ukuran ya (maaf, soalnya saya kurang paham juga perterminalan kabel kyk gini)? Karna gak pernah muat kalo nyolokin yg paling pertama",Elektronik
